                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                  1.503,                 1.1459,                 1.3307,                      1,                0.99299,                  0.995,                0.68642,                 1.1695,                0.56334,                 1.3699,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 1.8684,                  1.663,                 1.5763,                      1,                      1,                  0.995,                0.69085,                 1.1742,                0.53192,                 1.3684,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.4045,                  1.167,                 1.3772,                      1,                      1,                  0.995,                0.69085,                 1.1742,                0.53192,                 1.3684,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 1.1582,                0.96641,                 1.2497,                0.99774,                      1,                  0.995,                 0.6988,                  1.179,                0.51954,                 1.3581,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.2884,                0.97596,                 1.2086,                0.99774,                      1,                  0.995,                 0.6988,                  1.179,                0.51954,                 1.3581,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 1.3082,                 1.0762,                 1.2982,                0.99439,                      1,                  0.995,                0.70019,                 1.1775,                0.50325,                 1.3528,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                  1.693,                 1.3281,                 1.4285,                0.99439,                      1,                  0.995,                0.70019,                 1.1775,                0.50325,                 1.3528,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.4538,                 1.1053,                  1.382,                0.99439,                      1,                  0.995,                0.70019,                 1.1775,                0.50325,                 1.3528,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.4613,                 1.1312,                 1.4313,                0.99181,                      1,                  0.995,                0.68296,                 1.1758,                 0.4891,                 1.3511,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.7644,                 1.4705,                 1.4449,                0.99181,                      1,                  0.995,                0.68296,                 1.1758,                 0.4891,                 1.3511,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.3347,                 1.1517,                 1.3625,                0.99181,                      1,                  0.995,                0.68296,                 1.1758,                 0.4891,                 1.3511,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.3278,                 1.0727,                 1.4221,                0.99021,                      1,                  0.995,                0.67485,                 1.1693,                0.48304,                 1.3454,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.3365,                0.99252,                   1.35,                0.99021,                      1,                  0.995,                0.67485,                 1.1693,                0.48304,                 1.3454,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 1.3317,                0.92881,                 1.3366,                0.99021,                      1,                  0.995,                0.67485,                 1.1693,                0.48304,                 1.3454,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.5713,                 1.0894,                 1.4681,                0.99023,                      1,                  0.995,                0.69517,                 1.1691,                0.47786,                   1.34,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 1.3776,                0.86287,                 1.3483,                0.99023,                      1,                  0.995,                0.69517,                 1.1691,                0.47786,                   1.34,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.3805,                 1.0378,                 1.2654,                0.99023,                      1,                  0.995,                0.69517,                 1.1691,                0.47786,                   1.34,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 1.7434,                 1.2058,                   1.48,                0.99135,                      1,                  0.995,                0.69539,                 1.1697,                0.47812,                 1.3443,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 1.2789,                 0.9393,                 1.2391,                0.99135,                      1,                  0.995,                0.69539,                 1.1697,                0.47812,                 1.3443,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 1.3565,                0.97513,                 1.4111,                0.99135,                      1,                  0.995,                0.69539,                 1.1697,                0.47812,                 1.3443,             2.7905e-05,             2.7905e-05,             2.7905e-05
